NAMA SEKOLAH,NPSN,BENTUK,NAMA DUSUN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,PROVINSI,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI,SUMBER LISTRIK,AKSES INTERNET,SUMBER AIR,KECUKUPAN AIR,JENJANG,Unnamed: 0,BENTUK PENDIDIKAN,WAKTU PENYELENGGARAAN,AKREDITASI_CLEAN,QUALITY_SCORE
SMKS PELITA BUNGA BANGSA,20258134,,ARJASARI,Arjasari,Kec. Arjasari,Kab. Bandung,Prov. Jawa Barat,40379,-7.0559612,107.6463058,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKN PP CIANJUR,60726857,,Sirnagalih,Sirnagalih,Kec. Cilaku,Kab. Cianjur,Prov. Jawa Barat,43285,-6.8545,107.1316,NEGERI,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMK KUSUMA WARDHANA,69894948,,TANAH BARU,Tanahbaru,Kec. Kota Bogor Utara,Kota Bogor,Prov. Jawa Barat,16154,-6.5638,106.8222,SWASTA,A,Ada,Ada,Sumur tidak terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS BINA CENDIKIA,69755802,,KP. GELEDUG,Barengkok,Kec. Leuwiliang,Kab. Bogor,Prov. Jawa Barat,16640,-6.5981,106.6406,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS KARYA BAHANA MANDIRI,20268893,,-,Padurenan,Kec. Mustika Jaya,Kota Bekasi,Prov. Jawa Barat,17156,-6.3218,107.0064,SWASTA,A,Ada,Ada,Pompa,Cukup,SMK,,SMK,Sehari Penuh/6 hari,A,100
SMKS BINA SEJAHTERA 3,69765806,,Margajaya,Margajaya,Kec. Kota Bogor Barat,Kota Bogor,Prov. Jawa Barat,16116,-6.5744,106.7449,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS PERMATA,20246388,,-,Segarajaya,Kec. Taruma Jaya,Kab. Bekasi,Prov. Jawa Barat,17218,-6.0973,106.9987,SWASTA,C,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,C,50
SMK ANSORUNA SUBANG,69888297,,Tambakdahan,Tambakdahan,Kec. Tambakdahan,Kab. Subang,Prov. Jawa Barat,41253,-6.3508,107.8194,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK IT TALEGONG,69899219,,Datar Salam,Mekarmulya,Kec. Talegong,Kab. Garut,Prov. Jawa Barat,44167,-7.4692,107.4449,SWASTA,C,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,C,50
SMKN 1 CIBINONG,20231420,,Kaumpandak,Karadenan,Kec. Cibinong,Kab. Bogor,Prov. Jawa Barat,16913,-6.522,106.8077,NEGERI,A,Ada,Ada,Pompa,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS AL KAUTSAR,20271596,,-,Sadengkolot,Kec. Leuwisadeng,Kab. Bogor,Prov. Jawa Barat,16640,-6.581,106.5897,SWASTA,B,Ada,Tidak Ada,Sumur terlindungi,Kurang,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKS BINA SEJAHTERA 2 KOTA BOGOR,20220286,,Sindangsari,Kebonkelapa,Kec. Kota Bogor Tengah,Kota Bogor,Prov. Jawa Barat,16112,-6.5898,106.7811,SWASTA,A,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMK MMC,69897021,,SUKARATU,Sukaratu,Kec. Sukaratu,Kab. Tasikmalaya,Prov. Jawa Barat,46152,-7.2796,108.1417,SWASTA,B,Ada,Tidak Ada,Sumur terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS RANACO,60726851,,Curugrendeng,Curugrendeng,Kec. Jalancagak,Kab. Subang,Prov. Jawa Barat,41281,-6.6909,107.6671,SWASTA,C,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Pagi/6 hari,C,50
SMK FATAH MA SUM,69947076,,Saribakti,Saribakti,Kec. Peundeuy,Kab. Garut,Prov. Jawa Barat,44178,-7.5463225,107.9126861,SWASTA,C,Ada,Tidak Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,C,50
SMK ISLAM HEGARMANAH,70004943,,hegarmanah,Hegarmanah,Kec. Cicantayan,Kab. Sukabumi,Prov. Jawa Barat,43155,-6.9116193,106.8106375,SWASTA,C,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,C,50
SMKN 1 TIRTAMULYA,20270735,,Parakan,Parakan,Kec. Tirtamulya,Kab. Karawang,Prov. Jawa Barat,41372,-6.3399,107.4687,NEGERI,B,Ada,Ada,Pompa,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMK PERWIRA BANGSA,20270209,,Sawangan,Sawangan Lama,Kec. Sawangan,Kota Depok,Prov. Jawa Barat,16511,-6.40575,106.759465,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Siang/6 hari,B,75
SMK FARMASI AS-SHIFA,20228525,,-,Pakutandang,Kec. Ciparay,Kab. Bandung,Prov. Jawa Barat,40381,-7.0395,107.7108,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS TRITURA,20257149,,Cilangkap,Cilangkap,Kec. Tapos,Kota Depok,Prov. Jawa Barat,16458,-6.4461783,106.863105,SWASTA,B,Ada,Ada,Ledeng/PAM,Cukup,SMK,,SMK,Siang/6 hari,B,75
SMK AMAL MULIA,20231375,,Narogong,Kembang Kuning,Kec. Klapanunggal,Kab. Bogor,Prov. Jawa Barat,16876,-6.4489,106.9338,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKS UNGGUL KALPATARU,60726666,,nyangkowek,Nyangkowek,Kec. Cicurug,Kab. Sukabumi,Prov. Jawa Barat,43359,-6.805727,106.781356,SWASTA,A,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMK BAKTI JAYA,20276189,,-,Jatijajar,Kec. Tapos,Kota Depok,Prov. Jawa Barat,16955,-6.424295,106.8616733,SWASTA,B,Ada,Ada,Mata air terlindungi,Cukup,SMK,,SMK,Pagi/6 hari,B,75
SMKS BUDI TRESNA CIREBON,20244684,,BLOK WATUBELAH,Watubelah,Kec. Sumber,Kab. Cirebon,Prov. Jawa Barat,45611,-6.7427,108.4923,SWASTA,A,Ada,Ada,Pompa,Cukup,SMK,,SMK,Sehari Penuh/5 hari,A,100
SMKS ISLAM DAARUL KHOIR,60729051,,Cibarengkok,Pengasinan,Kec. Gunung Sindur,Kab. Bogor,Prov. Jawa Barat,16340,-6.3614,106.6977,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/5 hari,B,75
SMKS PENERBANGAN BAKTI NUSANTARA,60726703,,Desa Tridayasakti,Tridayasakti,Kec. Tambun Selatan,Kab. Bekasi,Prov. Jawa Barat,17510,-6.2499,107.0673,SWASTA,B,Ada,Ada,Sumur terlindungi,Cukup,SMK,,SMK,Sehari Penuh/6 hari,B,75
