NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
SMA AL AZHAR SYIFA BUDI PARAHYANGAN,69968020,Cimareme,Kec. Ngamprah,Kab. Bandung Barat,40552,-6.8597721,107.5003349,SWASTA,A
SMA AL MUKHTARIYAH RAJAMANDALA,20279932,Mandalasari,Kec. Cipatat,Kab. Bandung Barat,40754,-6.8316,107.3475,SWASTA,A
SMA AN NAJA BOARDING SCHOOL,69945707,Cipeundeuy,Kec. Cipeundeuy,Kab. Bandung Barat,40558,-6.7772672,107.370678,SWASTA,B
SMA BINA MANDIRI,69962773,Weninggalih,Kec. Sindangkerta,Kab. Bandung Barat,40563,-7.0189,107.4054,SWASTA,C
SMA BINA PERSADA,70045164,Padalarang,Kec. Padalarang,Kab. Bandung Barat,-,-6.8726,107.4721,SWASTA,Belum/Tidak Terakreditasi
SMA DAARUT TAUHIID BOARDING SCHOOL,69893110,Cigugur Girang,Kec. Parongpong,Kab. Bandung Barat,40559,-6.8359,107.5839,SWASTA,A
SMA DARUN NASYA,69897177,Pagerwangi,Kec. Lembang,Kab. Bandung Barat,40391,-6.8306,107.6205,SWASTA,B
SMA Global Solusi Indonesia,70031480,Selacau,Kec. Batujajar,Kab. Bandung Barat,40561,-6.9269,107.4987,SWASTA,Belum/Tidak Terakreditasi
SMA IT DAARUL ADZKIA,70039946,Mekarjaya,Kec. Cikalongwetan,Kab. Bandung Barat,40556,-6.7919,107.4772,SWASTA,Belum/Tidak Terakreditasi
SMA IT FITHRAH INSANI,69933838,Tanimulya,Kec. Ngamprah,Kab. Bandung Barat,40552,-6.8476237,107.508647,SWASTA,A
SMA LEPPESA 2 CILILIN,69946120,Mukapayung,Kec. Cililin,Kab. Bandung Barat,40562,-6.9862,107.467,SWASTA,C
SMA MADYA UTAMA,69899353,Nanggerang,Kec. Cililin,Kab. Bandung Barat,40562,-7.0256,107.4582,SWASTA,B
