Unnamed: 0,NAMA SEKOLAH,NPSN,DESA/KELURAHAN,KECAMATAN,KABUPATEN,KODE POS,LINTANG,BUJUR,STATUS,AKREDITASI
,SMKN 1 PANYINGKIRAN,20247198,Karyamukti,Kec. Panyingkiran,Kab. Majalengka,45459,-6.8013,108.1851,NEGERI,A
,SMK AS SAHIDU GABUSWETAN,69945625,Kedokangabus,Kec. Gabuswetan,Kab. Indramayu,45263,-6.4626383,108.099484,SWASTA,Belum/Tidak Terakreditasi
,SMKS TAMAN GLOBAL CICURUG,20253657,Tenjoayu,Kec. Cicurug,Kab. Sukabumi,43359,-6.7734,106.7921,SWASTA,B
,SMKS 10 NOVEMBER TAMBUN SELATAN,20254013,Sumberjaya,Kec. Tambun Selatan,Kab. Bekasi,17510,-6.2428,107.0637,SWASTA,A
,SMKS ISLAM AZZHAHIRIYAH,60725234,Waringinjaya,Kec. Kedung Waringin,Kab. Bekasi,17540,-6.2596,107.2381,SWASTA,B
,SMK MAARIF NU BANJARSARI,69995497,Ciherang,Kec. Banjarsari,Kab. Ciamis,46383,-7.4885,108.6258,SWASTA,B
,SMKS HIKMAH BANJAR,20225281,Banjar,Kec. Banjar,Kota Banjar,46311,-7.3635,108.5383,SWASTA,B
,SMKS KESUMA BANGSA 2 DEPOK,20229213,Tanah Baru,Kec. Beji,Kota Depok,16426,-6.3775,106.8082,SWASTA,A
,SMKS IT NURUL HUDA,69758122,Sayang,Kec. Cianjur,Kab. Cianjur,43213,-6.8314,107.1441,SWASTA,C
,SMKS NUSA BANGSA,20271195,Jampang,Kec. Kemang,Kab. Bogor,16330,-6.4734,106.7267,SWASTA,B
,SMKS CENDIKIA RANCAKALONG,20268578,Pasir Biru,Kec. Rancakalong,Kab. Sumedang,45361,-6.852,107.8435,SWASTA,B
,SMKS PASUNDAN 2 GARUT,20209244,Kotakulon,Kec. Garut Kota,Kab. Garut,44112,-7.225035,107.90521,SWASTA,A
,SMKS YASBU AL QOMARIYAH,20257522,Sodonghilir,Kec. Sodonghilir,Kab. Tasikmalaya,46473,-7.4881,108.0521,SWASTA,B
,SMKN CIKALONG,69892762,Sindangjaya,Kec. Cikalong,Kab. Tasikmalaya,46195,-7.7989,108.2686,NEGERI,A
,SMK AS SALWA LIMBANGAN,69899300,Neglasari,Kec. Blubur Limbangan,Kab. Garut,44186,-7.0414,107.9883,SWASTA,B
,SMKS UTAMA CIRANJANG,20252364,Cibiuk,Kec. Ciranjang,Kab. Cianjur,43282,-6.8129,107.2604,SWASTA,C
,SMK NEGERI 1 RONGGA,69756137,Cibedug,Kec. Rongga,Kab. Bandung Barat,40565,-7.0011,107.2721,NEGERI,B
,SMK ATLANTIS PLUS,69826562,Pangkalan Jati Baru,Kec. Cinere,Kota Depok,16434,-6.3971,106.7762,SWASTA,B
,SMKS ARDLI SELA,20235631,Conggeang Wetan,Kec. Conggeang,Kab. Sumedang,45391,-6.7359,108.0118,SWASTA,A
,SMKS FARMASI PASUNDAN KAWALI,20253142,Kawalimukti,Kec. Kawali,Kab. Ciamis,46253,-7.1848,108.3695,SWASTA,A
,SMKS PARIWISATA CITAYAM,20268832,Pabuaran,Kec. Bojong Gede,Kab. Bogor,16320,-6.443,106.7541,SWASTA,B
,SMKN 1 CIHAMPELAS,20252563,Mekarmukti,Kec. Cihampelas,Kab. Bandung Barat,40757,-6.9334,107.4616,NEGERI,B
,SMKS BHAKTI INSANI BOGOR,20220309,Batutulis,Kec. Kota Bogor Selatan,Kota Bogor,16133,-6.6183667,106.8106217,SWASTA,A
,SMKS SAINTEK NURUL MUSLIMIN KARAWANG,20258507,Telukbango,Kec. Batujaya,Kab. Karawang,41354,-6.0775,107.2209,SWASTA,B
,SMKS INFORMATIKA AL IHYA BANJARSARI,20254643,Sindanghayu,Kec. Banjarsari,Kab. Ciamis,46383,-7.4731,108.6347,SWASTA,B
,SMKN 1 PATOKBEUSI,69757494,Ciberes,Kec. Patokbeusi,Kab. Subang,41263,-6.3747,107.5862,NEGERI,A
,SMKS NUSANTARA TERISI,20268853,Kendayakan,Kec. Terisi,Kab. Indramayu,45262,-6.457,108.1439,SWASTA,B
,SMKS MATHLAUL ANWAR,60728561,Segaran,Kec. Batujaya,Kab. Karawang,41354,-6.0608,107.1541,SWASTA,B
,SMK PENIDA 2 KATAPANG,20227964,Pangauban,Kec. Katapang,Kab. Bandung,40971,-7.007,107.5517,SWASTA,A
,SMKS NU RAUDLATUL MUTAALLIMIN,69754532,Singaraja,Kec. Indramayu,Kab. Indramayu,45218,-6.3457,108.3597,SWASTA,B
